user_id,item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,item_41,item_42,item_43,item_44,item_45,item_46,item_47,item_48,item_49
0,3,4,2,4,4,1,2,2,2,4,3,2,5,4,1,3,5,5,1,3,4,0,3,1,5,4,3,0,0,2,2,1,3,3,5,5,5,2,3,3,0,2,4,2,4,0,1,3,0,3
1,5,1,1,0,1,4,1,3,3,3,3,4,2,5,0,3,1,3,1,5,5,5,1,3,5,4,1,1,3,1,1,5,3,5,5,3,0,5,4,4,1,4,1,0,3,3,3,4,0,4
2,4,0,0,0,0,3,2,2,0,2,2,0,2,4,1,1,0,3,0,3,1,0,5,4,2,3,5,2,2,0,2,4,5,2,0,4,1,5,2,0,1,1,3,4,2,0,3,4,3,5
3,4,4,2,4,3,4,2,2,5,3,1,1,4,5,0,4,5,3,3,3,3,3,5,5,2,1,3,0,5,0,0,0,2,5,0,3,4,0,2,5,2,0,5,4,0,2,1,3,2,5
4,0,3,0,5,0,1,3,3,5,1,2,0,4,0,0,2,0,1,1,3,5,4,0,0,2,5,1,4,3,1,5,3,2,2,0,5,4,3,1,5,5,2,0,0,3,2,5,4,2,3
5,3,2,3,2,1,2,2,3,3,0,0,1,0,2,3,0,0,1,5,1,2,3,1,0,3,3,0,1,0,5,3,4,4,2,0,0,2,2,2,3,5,0,3,2,0,3,5,3,5,2
6,5,0,2,0,4,1,5,1,1,5,2,4,0,3,0,3,0,5,4,3,2,0,0,3,2,2,5,5,5,5,5,5,4,2,5,2,2,1,4,5,0,3,0,4,3,4,2,3,2,0
7,0,3,3,5,4,5,4,5,2,3,0,4,4,0,5,4,2,3,0,3,4,4,0,2,1,0,1,5,1,2,5,1,5,1,2,1,1,1,0,0,0,2,5,4,1,1,2,1,0,4
8,3,1,0,3,4,3,0,5,5,3,2,3,1,1,5,2,0,1,5,4,5,1,1,5,0,3,1,5,5,2,3,4,0,4,3,3,3,4,3,5,4,3,5,2,3,4,1,3,1,5
9,2,0,2,3,1,1,4,1,4,5,0,3,4,0,1,1,0,1,5,5,0,4,4,0,4,4,5,4,2,3,1,2,4,5,0,4,5,3,4,0,5,5,5,3,4,3,1,1,4,3
10,0,5,5,4,1,1,5,4,3,1,3,1,1,2,1,0,4,4,3,1,0,3,2,3,3,1,2,3,0,0,4,2,2,4,3,2,0,0,1,2,3,4,4,3,5,1,4,2,1,2
11,0,1,4,1,1,1,5,1,2,0,3,1,4,1,4,2,4,3,0,4,4,0,3,1,4,0,2,0,2,3,1,0,5,4,3,0,4,0,2,0,5,0,0,5,3,0,5,4,2,2
12,0,3,3,4,0,2,3,0,3,5,3,2,1,4,4,2,3,0,3,2,4,3,4,0,4,4,1,1,5,1,4,2,4,2,2,1,3,0,1,1,3,0,4,5,5,4,1,0,1,2
13,1,1,4,4,4,5,2,4,0,5,3,0,0,4,3,3,5,3,2,4,3,5,2,1,1,2,5,2,4,4,1,3,5,1,3,3,4,0,0,2,4,3,5,0,3,0,0,0,5,4
14,5,1,3,4,4,4,4,5,4,2,3,4,3,2,2,3,0,1,0,0,5,0,4,5,5,2,0,2,3,1,5,3,3,4,1,3,3,1,1,3,1,3,3,4,0,3,2,5,0,0
15,0,4,3,4,3,4,4,5,2,4,5,1,2,4,0,1,1,5,1,2,4,4,0,5,0,1,0,2,4,1,0,5,2,2,0,4,0,1,0,2,0,4,5,3,0,4,4,5,2,4
16,4,4,4,1,1,2,0,4,5,0,5,0,2,4,4,3,5,0,0,1,3,1,1,1,5,5,2,2,1,3,0,5,3,4,5,5,2,0,0,4,4,5,1,2,2,5,3,1,5,1
17,1,1,5,2,2,1,3,0,5,0,3,5,1,2,0,4,4,3,1,0,1,0,3,3,4,1,5,4,1,4,5,2,2,2,2,0,2,5,3,3,0,2,2,2,4,1,4,1,2,2
18,4,4,1,3,1,4,5,4,5,0,4,0,3,1,5,1,0,5,1,4,2,0,1,0,0,5,5,2,4,0,1,3,0,0,2,4,3,5,5,1,3,5,1,4,1,5,2,2,2,5
19,2,3,4,1,1,5,2,2,0,4,3,1,0,0,5,1,5,3,0,0,4,3,0,3,1,2,0,4,1,3,5,1,0,3,2,1,0,4,5,3,1,1,2,2,4,5,4,0,0,4
20,5,4,5,5,3,5,2,5,5,5,0,2,2,4,3,5,1,3,3,2,3,5,5,0,5,5,2,5,0,1,2,1,2,4,3,4,5,1,5,3,2,3,0,3,0,3,0,1,5,5
21,4,5,2,3,4,2,2,0,5,1,1,4,1,3,1,4,1,3,0,4,0,0,0,2,5,2,5,0,4,5,3,3,1,5,4,2,0,1,3,2,2,0,5,3,4,2,0,4,5,3
22,5,2,4,4,4,2,2,5,1,5,3,0,4,1,0,1,5,2,4,5,0,0,0,0,0,1,5,4,2,2,5,5,2,2,1,3,4,0,3,5,2,3,4,5,0,0,4,4,2,0
23,5,3,5,1,1,4,2,1,0,5,5,4,3,4,3,4,4,4,3,3,4,1,2,2,2,3,3,1,2,2,4,3,2,5,1,5,5,1,5,2,3,1,4,5,1,0,0,3,2,3
24,3,3,3,4,4,1,0,3,1,0,5,2,4,5,0,5,2,0,5,4,4,1,5,3,5,0,0,5,2,4,0,4,0,1,3,0,4,1,0,2,3,0,1,2,5,1,1,2,1,2
25,0,2,2,3,2,2,5,0,3,5,4,0,0,4,2,5,1,3,1,4,0,0,3,0,0,3,5,5,3,4,0,0,4,5,2,2,2,5,5,4,0,4,4,5,2,1,0,5,2,1
26,1,5,3,0,1,5,5,2,3,0,4,2,1,1,2,5,1,3,0,3,1,4,0,0,2,2,4,5,0,4,2,2,0,3,1,2,5,5,2,3,3,4,5,4,5,1,1,0,4,2
27,4,2,3,4,3,1,1,0,4,3,2,1,1,2,3,3,4,4,5,5,0,1,4,3,2,3,1,5,3,0,1,5,2,5,0,1,2,0,5,0,1,4,0,0,5,5,2,5,3,1
28,1,4,4,1,4,2,5,1,4,1,3,0,5,1,0,4,0,5,1,3,4,1,5,4,2,0,5,2,1,3,4,0,4,1,4,0,1,4,3,5,1,5,1,3,5,2,0,2,4,3
29,2,1,4,4,2,2,3,0,2,2,5,1,5,5,4,0,1,3,3,2,2,3,2,0,5,2,4,2,1,0,1,1,4,0,0,0,0,0,4,2,1,0,2,2,1,4,3,3,2,5
30,5,1,3,2,4,3,2,2,0,4,0,1,0,0,3,5,2,4,0,4,5,5,0,1,0,3,2,1,0,4,1,1,0,1,4,5,1,5,4,0,2,1,2,4,1,5,3,2,1,2
31,1,0,5,2,3,3,4,1,2,4,2,1,3,0,3,4,5,0,4,1,0,4,1,3,5,1,2,1,1,5,2,4,4,1,2,2,5,3,4,5,0,4,5,4,3,0,3,0,1,5
32,0,3,4,0,5,0,2,4,5,5,1,3,1,5,4,0,0,4,5,0,0,0,3,3,2,1,4,4,4,2,3,5,5,2,5,4,1,0,3,3,2,3,4,5,4,2,4,5,1,2
33,1,0,1,0,0,1,2,5,4,4,5,0,0,2,3,1,0,4,2,1,2,1,1,5,0,2,2,5,4,4,0,0,3,5,4,1,2,0,2,2,3,4,0,2,0,1,3,1,0,0
34,4,2,2,1,3,5,2,4,1,1,5,4,3,4,3,4,4,0,1,4,5,4,2,1,2,1,2,4,4,0,5,2,3,0,2,2,0,4,2,4,0,4,1,3,2,5,3,4,2,4
35,1,0,2,1,1,2,4,5,1,3,1,5,4,4,3,1,4,5,2,0,0,0,1,3,4,2,5,2,5,1,0,1,3,3,5,4,4,5,3,3,3,1,3,2,0,3,5,0,1,5
36,0,5,1,2,1,1,5,4,3,3,2,2,3,4,3,4,2,0,5,2,2,1,1,1,5,1,4,3,0,2,4,0,4,4,2,3,1,5,3,5,2,2,2,0,5,3,3,4,4,4
37,2,3,5,2,0,4,2,2,0,1,3,5,1,4,2,0,0,3,1,3,2,3,5,0,0,4,4,2,5,1,3,2,4,3,4,3,1,2,3,5,0,5,5,0,5,3,3,3,0,5
38,0,3,5,5,4,4,1,2,4,0,4,1,5,1,5,5,2,4,0,0,3,5,0,2,5,2,0,0,3,0,5,5,5,3,3,0,1,1,3,0,1,0,0,0,4,5,0,4,3,1
39,5,1,5,1,5,1,1,1,1,3,0,2,4,2,2,5,0,5,0,0,1,3,1,3,5,3,5,2,2,3,3,5,1,5,1,2,0,3,1,5,2,1,5,3,3,4,0,4,2,1
40,2,5,3,4,4,4,2,3,1,5,1,2,5,4,0,2,2,3,1,2,2,4,4,5,0,3,0,5,4,1,4,3,4,3,3,3,5,3,3,1,0,2,0,3,1,4,1,3,1,1
41,3,5,1,2,2,1,5,4,3,2,4,1,4,0,2,1,3,5,1,3,5,5,1,4,4,5,4,0,5,5,3,4,5,0,3,1,5,0,2,0,0,3,1,2,4,4,0,3,3,4
42,2,1,2,5,5,1,4,1,3,5,0,0,4,3,2,3,0,0,5,3,3,0,2,4,4,3,4,0,0,3,3,5,3,2,4,3,1,5,1,0,4,3,1,4,0,2,5,4,4,2
43,4,0,0,2,5,3,1,3,4,1,2,2,5,1,0,1,4,0,2,1,3,5,3,5,4,3,1,1,3,1,4,0,4,5,4,5,1,0,1,2,1,5,1,1,0,1,0,3,2,0
44,5,3,0,0,2,5,4,4,0,1,5,3,1,1,5,0,0,0,0,4,0,4,4,0,2,3,1,4,5,5,3,5,2,5,1,1,4,0,2,4,2,0,5,5,0,4,0,3,1,4
45,2,3,4,0,0,0,0,2,3,5,1,2,2,5,5,1,1,5,0,2,4,1,1,5,3,4,4,1,0,3,4,1,4,3,3,2,5,5,1,3,2,2,4,4,2,4,3,0,3,2
46,2,3,4,4,5,2,1,5,4,3,4,3,5,2,4,3,2,1,3,5,1,1,0,4,3,1,0,5,2,3,1,4,0,1,4,1,3,3,3,5,5,0,3,4,1,2,4,5,5,4
47,5,3,0,1,0,1,1,0,4,1,0,1,2,4,3,1,2,3,3,1,0,1,2,3,1,0,1,4,0,2,3,1,0,4,0,5,4,2,3,2,1,0,5,4,4,0,5,0,1,2
48,4,1,2,1,5,4,0,0,2,3,5,2,3,1,5,1,4,5,3,4,0,3,2,0,0,2,5,0,3,4,0,3,1,3,4,3,2,4,5,1,2,5,3,4,1,2,5,5,1,3
49,1,5,0,2,1,5,3,5,3,1,3,4,4,4,0,1,5,5,0,3,0,3,3,2,5,4,3,2,5,4,3,3,0,0,5,4,3,5,5,1,0,4,3,5,3,1,4,5,3,0
50,1,4,1,0,4,1,2,0,0,0,2,2,3,5,1,3,1,5,2,5,2,5,3,4,3,1,3,0,1,5,1,4,2,5,1,5,5,5,2,3,5,0,4,2,1,2,1,2,1,5
51,3,1,1,0,1,0,4,5,0,3,5,0,5,5,5,4,3,2,2,0,5,0,4,4,1,4,1,3,0,3,4,3,3,3,4,5,3,1,4,3,5,4,2,5,1,3,2,2,4,2
52,1,1,0,1,5,2,1,4,0,2,0,2,4,0,3,5,5,2,3,0,3,3,0,4,3,3,4,3,3,3,5,1,4,3,5,4,2,2,3,5,5,4,4,5,4,5,1,5,2,4
53,5,5,4,1,1,4,0,4,4,1,1,4,4,4,1,4,4,3,0,2,0,3,2,4,3,4,1,5,3,1,3,3,1,2,0,4,3,4,5,1,4,1,4,0,0,0,0,0,0,1
54,3,4,0,1,1,1,3,4,3,2,1,2,5,0,0,3,4,2,4,3,0,4,4,0,2,0,4,2,2,0,4,3,4,1,5,3,2,3,2,2,3,2,2,1,4,4,5,5,1,5
55,3,0,0,0,1,1,2,0,3,5,3,5,0,0,0,1,5,1,1,4,3,3,2,1,5,4,4,3,1,2,1,0,1,0,0,2,5,3,1,0,1,5,3,5,3,4,3,2,5,0
56,4,2,1,5,0,3,0,1,4,4,5,4,5,5,5,3,2,5,5,2,0,5,3,4,4,1,1,4,4,3,2,1,2,3,4,5,2,4,4,0,2,5,2,4,5,3,0,4,1,1
57,0,3,4,2,0,3,2,1,1,2,0,1,4,5,2,2,1,0,4,0,3,3,5,1,1,1,5,3,0,5,5,0,1,4,0,3,2,2,5,2,4,1,3,4,3,3,1,5,2,1
58,4,5,4,5,4,1,5,5,3,3,0,4,3,0,3,4,5,2,4,1,3,3,5,1,5,1,2,3,3,2,0,5,2,5,4,3,5,1,5,4,3,2,4,3,5,0,0,1,3,0
59,2,3,2,2,0,3,5,4,0,0,5,3,3,2,5,5,3,2,0,1,4,0,3,4,1,1,2,4,2,0,5,5,5,4,5,0,2,4,2,4,2,1,2,5,1,2,4,4,4,3
60,0,4,1,4,3,5,1,3,5,1,2,0,0,3,5,0,5,5,3,3,3,0,3,0,3,4,5,3,1,5,5,3,2,3,5,1,5,1,0,4,5,3,0,4,3,2,3,1,1,2
61,0,4,3,1,0,2,5,1,2,3,4,1,1,3,5,0,4,1,4,1,4,2,1,4,0,2,2,0,4,3,0,4,0,0,1,4,3,1,0,5,0,0,4,4,1,3,1,2,0,5
62,0,0,1,5,5,5,1,0,1,4,4,1,5,0,1,1,1,2,4,5,3,5,3,2,1,2,2,0,4,3,1,3,5,3,5,4,5,3,3,5,2,4,0,1,3,1,0,1,0,5
63,2,3,0,1,3,2,5,3,0,2,1,2,2,4,2,2,3,1,3,3,0,3,4,4,0,5,1,1,3,3,5,3,1,2,4,2,2,1,2,5,0,3,0,4,3,2,4,3,5,5
64,5,5,2,0,3,2,5,0,4,4,4,5,4,1,3,3,5,1,2,2,4,0,2,0,3,0,3,1,1,5,5,4,2,4,3,4,0,3,5,1,5,2,3,3,0,2,1,3,3,0
65,4,1,5,2,3,3,5,1,4,3,1,5,0,4,2,3,1,0,2,1,1,2,0,5,0,4,3,2,5,2,2,0,3,4,1,1,2,3,5,0,3,3,0,2,3,1,0,5,4,2
66,0,4,4,5,3,5,3,3,0,0,2,3,4,1,2,0,5,2,2,2,2,1,5,5,5,3,4,5,2,2,5,5,2,3,0,0,5,1,5,5,0,2,5,2,2,1,2,0,3,3
67,4,5,0,2,3,0,3,2,3,5,5,4,4,3,0,5,0,0,3,0,5,2,4,2,0,2,5,5,0,3,2,3,3,1,0,4,5,5,0,4,5,0,5,3,2,2,5,1,4,4
68,4,3,4,2,3,0,4,4,0,4,0,3,2,0,1,0,4,3,5,3,5,0,2,1,3,4,5,4,2,5,3,0,4,2,3,3,3,3,5,3,4,2,5,3,1,1,2,0,0,5
69,5,5,0,1,0,4,3,5,1,2,2,3,1,0,0,4,4,0,2,5,2,4,3,0,4,4,5,0,5,0,5,2,3,3,0,1,4,4,0,5,1,2,5,5,0,0,4,0,0,0
70,4,2,2,0,4,2,5,2,2,4,5,4,0,3,2,3,4,4,4,3,4,0,4,1,3,1,4,0,2,5,5,4,0,3,1,1,1,3,5,0,3,1,4,2,3,3,0,0,3,1
71,2,0,1,4,0,1,1,2,2,4,1,5,1,2,5,0,0,3,2,3,5,2,4,1,4,5,2,5,1,0,0,5,3,2,2,0,4,1,4,4,5,0,0,0,5,3,4,5,2,1
72,3,2,4,0,4,5,1,5,3,3,1,2,2,3,3,0,2,1,2,0,5,3,3,0,1,3,4,3,4,0,0,3,2,4,1,3,1,3,2,2,2,5,2,0,0,5,4,1,3,3
73,5,0,3,0,4,1,4,5,2,2,2,4,3,1,2,5,5,2,2,1,2,1,5,2,4,4,5,1,4,1,4,4,1,3,4,2,5,3,1,3,0,0,4,4,2,5,3,0,4,5
74,3,4,4,0,0,4,1,4,5,4,2,2,2,1,1,4,2,1,0,4,5,3,4,3,2,3,2,0,3,4,2,4,1,2,3,2,4,0,2,3,1,5,0,1,2,4,4,3,4,0
75,4,3,5,2,2,4,1,2,5,4,3,5,4,5,2,3,4,0,3,0,5,1,3,5,0,2,2,1,3,3,3,5,1,3,5,2,0,5,2,2,0,2,1,0,2,4,5,2,1,3
76,2,3,4,2,0,3,4,0,0,0,0,2,5,2,2,4,4,5,4,1,5,4,5,2,2,5,1,1,5,4,3,1,0,2,5,0,5,2,2,1,1,0,5,2,0,3,0,4,0,4
77,4,4,3,0,0,3,2,1,0,1,5,5,3,5,5,2,2,2,5,3,4,4,1,4,4,2,2,5,1,0,1,1,3,5,3,1,1,1,4,3,1,2,5,5,2,5,4,4,0,0
78,0,5,4,4,4,2,4,2,0,0,5,0,5,1,1,3,5,3,3,1,5,1,3,5,3,4,5,5,3,4,2,1,3,5,1,1,1,2,0,3,0,0,0,1,4,1,1,5,5,0
79,1,0,5,4,3,0,4,3,2,0,0,2,2,0,2,1,3,3,3,1,2,4,2,0,5,3,2,4,0,1,1,4,0,3,2,0,1,4,4,2,4,4,0,3,2,0,3,0,5,0
80,4,3,2,2,3,4,1,0,4,5,3,0,2,1,5,2,3,0,3,0,4,1,4,4,3,1,0,0,5,2,5,5,0,3,4,4,4,1,0,3,1,2,3,5,3,3,4,3,5,5
81,0,3,4,3,2,2,4,0,0,5,5,1,4,3,4,1,5,4,4,5,1,5,0,3,5,1,2,0,2,5,0,3,5,3,4,2,0,3,1,3,1,5,0,3,3,0,3,1,3,2
82,5,4,1,2,5,0,1,4,5,4,0,0,1,3,0,5,3,2,4,3,4,3,2,0,2,0,0,4,5,2,3,2,4,0,4,1,1,3,4,3,3,1,3,1,0,4,3,1,2,3
83,5,0,0,2,1,3,1,0,1,0,1,2,4,2,2,4,4,3,3,2,2,0,0,3,5,5,3,0,0,5,1,1,0,1,4,3,3,0,2,5,0,1,5,2,1,4,1,4,5,4
84,5,5,5,5,5,1,5,1,5,4,5,2,5,5,4,3,4,2,3,0,0,2,4,1,2,3,3,5,0,3,2,3,2,1,5,0,3,2,4,0,1,2,5,5,1,1,5,3,3,2
85,4,2,4,1,0,2,2,4,1,1,4,1,5,3,5,0,2,0,2,3,1,5,4,5,3,0,4,1,3,4,3,3,1,2,4,1,3,1,2,5,4,2,0,4,2,3,4,4,1,3
86,0,5,2,1,2,0,0,4,0,2,3,3,4,5,2,2,0,2,1,5,0,1,4,3,4,3,4,2,1,3,0,1,0,1,1,4,3,3,1,2,2,0,0,4,1,0,0,5,1,4
87,0,4,3,4,2,2,4,2,3,1,2,2,4,3,1,4,4,5,3,1,3,1,3,4,4,0,2,5,3,5,0,2,3,1,2,4,0,2,2,4,3,1,4,1,3,2,1,0,0,4
88,3,4,4,5,4,5,0,0,4,0,3,5,5,4,0,1,5,4,4,3,2,2,5,3,3,3,5,2,3,0,4,4,1,1,5,5,4,0,2,2,5,0,5,2,5,3,5,4,5,4
89,0,2,1,1,2,1,5,0,0,2,1,5,0,0,3,3,0,2,4,4,5,0,0,0,2,3,0,0,1,2,5,0,1,4,5,0,0,1,2,0,4,0,4,5,5,3,3,4,2,0
90,0,3,4,0,0,2,1,3,3,1,0,2,2,3,2,5,1,0,5,1,4,3,2,4,2,5,0,0,0,2,4,0,4,2,5,4,5,2,2,3,2,2,1,0,3,3,3,1,5,2
91,0,4,5,2,1,2,2,1,3,3,0,0,3,5,4,2,4,2,3,0,5,0,4,0,3,5,4,5,2,0,5,1,0,2,5,4,2,1,5,3,0,4,3,5,5,2,5,4,3,4
92,1,1,0,0,1,5,4,1,0,1,5,1,4,3,5,0,4,1,1,3,0,0,2,0,3,2,2,1,1,0,2,1,3,1,5,5,1,2,2,4,5,3,2,0,5,3,3,2,3,2
93,1,5,4,1,5,2,5,2,1,0,0,5,0,2,3,2,3,1,4,3,0,2,1,0,1,4,2,5,2,4,2,5,3,1,5,0,4,3,0,0,4,3,0,0,3,2,0,1,3,0
94,4,5,1,5,5,0,1,1,2,5,1,2,3,2,4,0,3,3,4,2,0,2,1,2,3,0,2,0,0,1,1,3,4,0,4,3,0,0,5,4,2,1,2,4,1,2,5,1,0,2
95,1,5,1,1,5,2,3,2,4,5,2,1,5,0,2,5,2,5,1,0,0,4,5,2,0,0,3,3,0,5,4,0,1,2,4,1,4,1,2,2,3,5,1,3,1,3,2,4,3,1
96,1,5,2,1,0,4,3,5,4,2,5,3,3,0,2,5,5,1,0,0,5,5,4,4,4,0,1,3,4,1,2,4,3,2,2,3,4,0,3,3,3,2,1,0,4,4,1,3,0,4
97,5,4,3,5,1,0,1,1,0,0,4,4,0,5,2,4,2,5,0,5,4,1,0,3,2,5,0,5,0,4,4,4,5,3,4,0,4,1,4,5,3,1,5,5,5,0,5,0,5,2
98,1,2,5,1,1,3,2,3,1,0,1,3,2,5,5,2,5,5,3,2,4,0,0,5,0,2,2,1,1,0,4,1,1,2,4,5,0,1,4,4,0,4,4,4,1,0,4,4,1,0
99,2,1,0,4,0,0,5,0,2,0,2,4,2,4,4,2,1,3,0,5,3,0,0,4,0,5,0,2,3,2,5,0,5,4,2,2,1,0,4,2,2,4,5,5,0,1,2,1,5,5
